peak_idx,UG2K_V,UG2K_V_refined,IA_peak,IA_peak_refined,trough_idx,UG2K_trough_V,UG2K_trough_V_refined,IA_trough,IA_trough_refined,drop
17,18.0,18.190909090909436,160.0,159.80012987012964,19,20.0,19.714814814815067,155.0,155.18600529100524,5.0
27,28.0,27.89999999999998,209.0,208.42500000000132,31,32.0,31.805555555555564,179.0,179.91984126984244,30.0
38,39.0,38.85999999999999,246.0,246.570285714286,42,43.0,43.14999999999991,204.0,206.26500000000306,42.0
49,50.0,50.33703703703709,283.0,283.47621693121437,54,55.0,54.91249999999989,238.0,238.6332142857318,45.0
61,62.0,62.186666666666675,323.0,323.16038095237946,66,67.0,66.83720930232668,278.0,278.9514950165976,45.0
74,75.0,74.43658536585497,367.0,367.58677700348017,78,79.0,78.96865671641879,329.0,329.42386993602486,38.0
86,87.0,87.15555555555642,420.0,419.8050793650509,90,91.0,91.23333333333339,394.0,394.1561904761875,26.0
